dataset,experiment,model,params,seed,epochs,val_score,threshold_det,train_attack,eval_attack,task_clean_acc,task_clean_prec,task_clean_rec,task_adv_acc,task_adv_prec,task_adv_rec,det_clean_acc,det_adv_acc,det_precision,det_recall,score_clean,score_adv,clean_acc_e2e,robust_acc_e2e,duration_s,checkpoint,error
unsw-nb15,s1/base/undefended,adv,"lambda_act=0, task_loss_on_adv=False",42,5,0.7693,,pgd,pgd,0.8404,0.7929,0.9612,0.5596,0.6047,0.5776,,,,,,,0.8404,0.5596,56.2,results/checkpoints/s1-base-undefended__unsw-nb15__seed42.pt,
unsw-nb15,s1/base/detlayer,det,,42,6,0.9667,0.48,pgd,pgd,0.8553,0.8158,0.9523,0.4553,0.5068,0.4004,0.9891,0.9936,0.9891,0.9936,0.0346,0.97,0.8469,0.9977,85.0,results/checkpoints/s1-base-detlayer__unsw-nb15__seed42.pt,
unsw-nb15,s1/base/detlayer-advtrain,det,task_loss_on_adv=True,42,8,0.959,0.47,pgd,pgd,0.8253,0.763,0.9902,0.8126,0.7524,0.9832,0.9798,0.9433,0.9791,0.9433,0.1063,0.8515,0.8099,0.9727,99.0,results/checkpoints/s1-base-detlayer-advtrain__unsw-nb15__seed42.pt,
unsw-nb15,s1/base/further,det,,42,6,0.9639,0.5,pgd,pgd,0.8547,0.8192,0.9447,0.1242,0.0371,0.0237,0.9901,0.9934,0.9902,0.9934,0.0382,0.9614,0.8457,0.9952,91.6,results/checkpoints/s1-base-further__unsw-nb15__seed42.pt,
unsw-nb15,s1/base/further-advtrain,det,task_loss_on_adv=True,42,6,0.9262,0.47,pgd,pgd,0.8156,0.7547,0.9855,0.7498,0.7138,0.9107,0.8541,0.8576,0.8546,0.8576,0.2736,0.7224,0.7085,0.9058,91.9,results/checkpoints/s1-base-further-advtrain__unsw-nb15__seed42.pt,
unsw-nb15,s1/base/nearest,adv,,42,6,0.9327,,pgd,pgd,0.8214,0.7583,0.9918,0.8091,0.7498,0.9805,,,,,,,0.8214,0.8091,70.8,results/checkpoints/s1-base-nearest__unsw-nb15__seed42.pt,
unsw-nb15,s1/base/nearest-clean,adv,task_loss_on_adv=False,42,6,0.8647,,pgd,pgd,0.8392,0.7852,0.9745,0.7018,0.701,0.7996,,,,,,,0.8392,0.7018,80.3,results/checkpoints/s1-base-nearest-clean__unsw-nb15__seed42.pt,
unsw-nb15,s1/vv/actloss-zero,det,"lambda_act=0, margin_factor=None",42,6,0.9667,0.48,pgd,pgd,0.8553,0.8158,0.9523,0.4553,0.5068,0.4004,0.9891,0.9936,0.9891,0.9936,0.0346,0.97,0.8469,0.9977,89.3,results/checkpoints/s1-vv-actloss-zero__unsw-nb15__seed42.pt,
unsw-nb15,s1/vv/margin-tiny,det,margin_factor=0.01,42,6,0.966,0.49,pgd,pgd,0.8596,0.8243,0.9467,0.4531,0.5042,0.4015,0.9928,0.9922,0.9928,0.9922,0.0292,0.9673,0.854,0.9969,86.1,results/checkpoints/s1-vv-margin-tiny__unsw-nb15__seed42.pt,
unsw-nb15,s1/vv/repro-cold,det,"hidden_dims=(64,16), wrap_at=(1,)",42,10,0.961,0.33,pgd,pgd,0.8599,0.824,0.9481,0.2892,0.3141,0.2458,0.9767,0.9862,0.9769,0.9862,0.0313,0.9579,0.8381,0.9921,128.9,results/checkpoints/s1-vv-repro-cold__unsw-nb15__seed42.pt,
unsw-nb15,s1/vv/repro-warm,det,"hidden_dims=(64,16), wrap_at=(1,)",42,10,0.961,0.33,pgd,pgd,0.8599,0.824,0.9481,0.2892,0.3141,0.2458,0.9767,0.9862,0.9769,0.9862,0.0313,0.9579,0.8381,0.9921,115.9,results/checkpoints/s1-vv-repro-warm__unsw-nb15__seed42.pt,
